sector,name,rate,market cap
Consumer Discretionary,AAL,14.45,10.644510662
Industrials,AAON,10.79,4.25596296
Technology,AAPL,48.31,2644.811217
Consumer Discretionary,AAWW,12.42,2.891729986
Finance,ABCB,11.1,3.393533926
Health Care,ACAD,5.77,3.136603354
Finance,ACGL,2.81,25.113162057
Health Care,ACHC,2.8,7.464639302
Technology,ACIW,22.25,2.920603717
Technology,ACLS,108.83,3.99625575
Technology,ADBE,71.72,163.36593
Technology,ADI,24.51,97.482835082
Consumer Discretionary,ADP,12.07,94.760125898
Technology,ADSK,40.61,47.46453333
Consumer Discretionary,AEIS,26.66,3.631395791
Utilities,AEP,15.38,47.486142484
Real Estate,AGNC,7.38,6.545833
Technology,AGYS,15.46,2.08878443
Industrials,AIMC,32.14,4.010146437
Consumer Discretionary,AKAM,-2.97,12.0588
Health Care,ALGN,131.66,24.481683
Health Care,ALKS,-1.57,4.612247833
Health Care,ALNY,241.23,27.409460253
Technology,ALRM,36.47,2.648268321
Technology,AMAT,66.06,97.324948909
Technology,AMBA,18.63,3.609038896
Technology,AMD,-3.94,127.748150538
Health Care,AMED,26.51,3.15947589
Health Care,AMGN,17.43,128.437304526
Technology,AMKR,-3.1,6.494278078
Consumer Discretionary,AMZN,57.76,989.19353304
Technology,ANSS,59.13,23.586508749
Energy,APA,-30.54,12.2463845
Technology,APPF,79.13,4.655297308
Industrials,ARCB,27.85,2.475753246
Finance,ARCC,-3.05,10.457347647
Energy,ARLP,-11.84,2.723249639
Health Care,ARWR,121.43,3.655468001
Technology,ASML,60.91,262.817903676
Health Care,ASND,99.9,6.652227546
Consumer Discretionary,ATVI,75.52,60.708245995
Industrials,AVAV,103.68,2.207051333
Technology,AVGO,49.72,248.888806123
Technology,AVT,-15.33,4.242749396
Consumer Discretionary,AXON,8.01,13.468754898
Health Care,AXSM,-15.12,2.893050912
Utilities,AY,8.58,3.006988315
Health Care,AZN,27.68,213.781953131
Technology,AZPN,20.27,13.857813644
Health Care,AZTA,47.6,3.2098507
Finance,BANF,11.17,2.948608976
Finance,BANR,-1.99,2.196965657
Industrials,BCPC,-2.07,4.438503051
Consumer Discretionary,BECN,40.78,3.993502123
Health Care,BGNE,224.67,24.165136468
Technology,BIDU,44.03,48.967963197
Health Care,BIIB,14.56,40.221914133
Consumer Discretionary,BKNG,20.79,95.49986115
Energy,BKR,-50.44,30.933149596
Technology,BL,19.79,4.287197332
Technology,BLKB,45.04,3.110363189
Consumer Discretionary,BLMN,20.11,2.415203146
Health Care,BMRN,6.05,20.129295984
Finance,BOKF,12.86,6.995168494
Health Care,BPMC,176.37,2.76537084
Finance,BPOP,-18.46,5.248195709
Industrials,BRKR,59.96,10.844409241
Finance,CACC,51.9,6.007437257
Consumer Discretionary,CAKE,-17.03,2.061947454
Consumer Staples,CALM,-0.57,3.002353943
Consumer Discretionary,CAR,18.57,9.986770666
Miscellaneous,CASY,-5.51,8.096671147
Finance,CATY,11.74,3.261758051
Consumer Discretionary,CBRL,-1.67,2.455002282
Finance,CBSH,-2.95,8.377439682
Consumer Staples,CCEP,26.59,25.703513922
Consumer Discretionary,CCOI,6.69,3.266123157
Technology,CDNS,65.94,53.0704536
Consumer Discretionary,CDW,35.35,28.964192779
Consumer Staples,CELH,82.91,7.229198063
nan,CENT,15.78,2.32817232
nan,CENTA,19.97,2.206120141
Finance,CG,49.36,12.762234251
Industrials,CGNX,94.03,8.324858673
Consumer Discretionary,CHDN,60.09,9.196715782
Technology,CHKP,22.7,15.671398922
Energy,CHRD,-45.52,5.539866063
Consumer Discretionary,CHRW,23.18,11.908666878
Consumer Discretionary,CHTR,22.12,81.062212405
nan,CIGI,67.17,5.07951279
Finance,CINF,-3.58,19.956413
Health Care,CLDX,-19.11,2.02623473
Consumer Discretionary,CMCSA,18.96,164.932123551
