sector,name,rate,market cap
Consumer Discretionary,AAL,-24.06,10.644510662
Industrials,AAON,2.59,4.25596296
Technology,AAPL,-6.58,2644.811217
Consumer Discretionary,AAWW,-11.19,2.891729986
Finance,ABCB,-9.26,3.393533926
Health Care,ABCL,36.41,2.743703095
Health Care,ABCM,-1.48,3.308393618
Consumer Discretionary,ABNB,-21.68,78.486109321
Health Care,ACAD,-12.22,3.136603354
Finance,ACGL,-1.75,25.113162057
Health Care,ACHC,3.84,7.464639302
Technology,ACIW,-4.64,2.920603717
Technology,ACLS,-21.68,3.99625575
Finance,ACT,-9.73,4.005928304
Technology,ADBE,-11.88,163.36593
Technology,ADI,-13.27,97.482835082
Consumer Discretionary,ADP,-2.78,94.760125898
Technology,ADSK,-16.16,47.46453333
Consumer Discretionary,AEIS,-13.14,3.631395791
Utilities,AEP,-4.01,47.486142484
Technology,AFRM,-29.32,3.816052192
Real Estate,AGNC,-5.67,6.545833
Technology,AGYS,19.83,2.08878443
Health Care,AHCO,2.95,2.999126863
Industrials,AIMC,-8.53,4.010146437
Consumer Discretionary,AKAM,-8.91,12.0588
Health Care,AKRO,26.87,2.103875738
Technology,ALGM,-21.26,8.522118104
Health Care,ALGN,-6.72,24.481683
Health Care,ALHC,13.49,2.07297906
Health Care,ALKS,1.87,4.612247833
Health Care,ALNY,20.48,27.409460253
Technology,ALRM,-1.67,2.648268321
Technology,ALTR,-3.52,4.452712744
Technology,AMAT,-24.63,97.324948909
Technology,AMBA,-24.12,3.609038896
Technology,AMD,-27.22,127.748150538
Health Care,AMED,-4.07,3.15947589
Health Care,AMGN,-3.11,128.437304526
Technology,AMKR,-23.9,6.494278078
Health Care,AMLX,127.72,2.460093374
Consumer Discretionary,AMZN,-9.96,989.19353304
Technology,ANSS,-5.78,23.586508749
Energy,APA,-25.77,12.2463845
Health Care,APLS,9.87,6.135837103
Technology,APP,-8.69,5.604366508
Technology,APPF,-8.7,4.655297308
Technology,APPN,-0.57,3.33428765
Industrials,ARCB,-7.79,2.475753246
Finance,ARCC,-3.33,10.457347647
Health Care,ARGX,22.49,20.635918274
Consumer Discretionary,ARHS,-22.53,2.004304635
Energy,ARLP,-8.32,2.723249639
Technology,ARRY,1.46,3.057967305
Health Care,ARWR,8.8,3.655468001
Technology,ASML,-20.19,262.817903676
Health Care,ASND,9.16,6.652227546
Consumer Discretionary,ASO,3.25,4.896558995
Consumer Discretionary,ATVI,1.5,60.708245995
Technology,AUR,-35.1,2.0988
Industrials,AVAV,-5.74,2.207051333
Technology,AVDX,-29.33,2.014868223
Technology,AVGO,-16.7,248.888806123
Technology,AVT,-11.51,4.242749396
Health Care,AXNX,15.92,2.843515635
Consumer Discretionary,AXON,-6.16,13.468754898
Health Care,AXSM,69.12,2.893050912
Utilities,AY,5.72,3.006988315
Health Care,AZN,-0.26,213.781953131
Technology,AZPN,-4.47,13.857813644
Health Care,AZTA,-5.39,3.2098507
Finance,BANF,9.14,2.948608976
Finance,BANR,1.08,2.196965657
Industrials,BCPC,5.16,4.438503051
Health Care,BEAM,16.93,3.042145046
Consumer Discretionary,BECN,-14.54,3.993502123
Health Care,BGNE,20.09,24.165136468
Finance,BHF,-12.25,4.039330503
Technology,BIDU,7.2,48.967963197
Health Care,BIIB,5.32,40.221914133
Technology,BILI,18.63,8.904349739
Consumer Discretionary,BKNG,-21.02,95.49986115
Energy,BKR,-22.24,30.933149596
Technology,BL,-6.49,4.287197332
Technology,BLKB,-9.85,3.110363189
Consumer Discretionary,BLMN,-18.21,2.415203146
Technology,BMBL,2.98,2.948853547
Health Care,BMRN,14.27,20.129295984
Health Care,BNTX,-2.47,33.641050287
Finance,BOKF,-9.23,6.995168494
Health Care,BPMC,-10.9,2.76537084
Finance,BPOP,-2.99,5.248195709
Industrials,BRKR,3.47,10.844409241
Technology,BRZE,14.6,2.979340357
Technology,BSY,-2.12,11.792378035
Technology,BZ,37.86,9.832025586
Finance,CACC,-15.07,6.007437257
Consumer Discretionary,CAKE,-12.06,2.061947454
Consumer Staples,CALM,5.94,3.002353943
Consumer Discretionary,CAR,-19.47,9.986770666
nan,CARG,-11.84,2.03022692
Miscellaneous,CASY,-9.97,8.096671147
Finance,CATY,-3.09,3.261758051
Consumer Discretionary,CBRL,-16.24,2.455002282
Finance,CBSH,-2.36,8.377439682
Technology,CCCS,1.1,5.685716928
Consumer Staples,CCEP,0.06,25.703513922
Consumer Discretionary,CCOI,2.58,3.266123157
Finance,CD,23.33,2.908473657
Technology,CDNS,-2.34,53.0704536
Consumer Discretionary,CDW,-8.3,28.964192779
Utilities,CEG,-9.51,27.649363022
Consumer Staples,CELH,0.14,7.229198063
nan,CENT,-3.09,2.32817232
nan,CENTA,-2.99,2.206120141
Health Care,CERE,0.04,5.250874522
Technology,CERT,14.28,3.070511732
Technology,CFLT,17.87,7.263148684
Finance,CG,-16.58,12.762234251
Industrials,CGNX,-7.71,8.324858673
Consumer Discretionary,CHDN,-3.15,9.196715782
Energy,CHK,-17.1,10.729748282
Technology,CHKP,-1.99,15.671398922
Energy,CHRD,-33.88,5.539866063
Consumer Discretionary,CHRW,-6.32,11.908666878
Consumer Discretionary,CHTR,-2.92,81.062212405
Industrials,CHX,-16.43,6.175619542
nan,CIGI,-2.81,5.07951279
Finance,CINF,-4.56,19.956413
Finance,CLBK,6.77,2.256778558
Health Care,CLDX,-0.26,2.02623473
Consumer Discretionary,CMCSA,-8.29,164.932123551
Finance,CME,2.46,67.859111991
Technology,CNXC,-11.86,7.43181465
Industrials,COHR,-20.66,6.251930118
Technology,COIN,-28.54,17.07588
Consumer Staples,COKE,0.22,4.972367067
Finance,COLB,-0.1,2.484430868
Consumer Discretionary,COLM,-7.74,5.654203375
Finance,COOP,-11.63,3.318659158
Health Care,CORT,22.66,2.425351211
Consumer Discretionary,COST,6.3,225.183611189
Technology,COUP,-13.42,6.043304
Consumer Discretionary,CPRT,-2.43,32.578920752
Industrials,CRCT,-20.65,2.126481818
Consumer Discretionary,CROX,-14.28,8.117606473
Health Care,CRSP,10.23,3.984388734
Consumer Discretionary,CRTO,-7.2,2.008235294
Technology,CRUS,-14.22,5.720774292
Finance,CRVL,2.21,3.161371396
Technology,CRWD,11.03,26.77949165
Telecommunications,CSCO,-5.81,208.568392509
Finance,CSGP,0.15,31.542881054
nan,CSIQ,-3.5,2.50262789
Finance,CSQ,-9.0,2.280037376
Industrials,CSWI,-2.77,2.183821416
Industrials,CSX,-8.31,65.616176432
Consumer Discretionary,CTAS,-3.61,45.129654724
Technology,CTSH,-8.29,33.32932
Finance,CVBF,2.32,3.405983605
Consumer Discretionary,CVCO,-6.54,2.476226286
Technology,CVLT,2.94,2.777007501
Technology,CVT,1.01,3.849699057
Utilities,CWST,1.92,3.986614716
Technology,CYBR,-4.73,5.949877157
Health Care,CYTK,1.31,4.325583056
Consumer Discretionary,CZR,-22.26,11.329090344
Consumer Discretionary,DADA,16.98,2.755250552
Technology,DBX,3.69,7.697265941
Technology,DCT,-21.96,2.508929386
Technology,DDOG,3.64,25.401611442
Technology,DIOD,-19.31,4.275753842
Consumer Discretionary,DISH,-17.18,7.509496565
Consumer Discretionary,DKNG,-12.88,9.219342747
Consumer Discretionary,DLO,-4.33,4.629206823
Consumer Discretionary,DLTR,-2.94,32.744150271
Health Care,DNLI,30.77,4.145033147
Consumer Discretionary,DNUT,-8.72,2.195100683
Technology,DOCU,-25.45,12.963250322
nan,DOOO,-20.47,7.005984199
Consumer Discretionary,DORM,9.25,3.04351736
Technology,DOX,-2.72,11.43656592
Industrials,DRS,-24.46,3.424064342
nan,DRVN,-2.98,4.806170189
nan,DSGX,3.58,6.373224069
Technology,DUOL,13.82,3.669103778
Health Care,DXCM,9.4,44.344835064
Consumer Discretionary,EA,-12.04,30.713490752
Consumer Discretionary,EBAY,-8.69,26.177874357
Finance,EBC,-1.09,2.769424988
Technology,EEFT,-16.84,5.464253368
Finance,EFSC,-8.11,2.07387451
Technology,ENPH,7.25,27.980605716
Health Care,ENSG,-3.14,5.08945665
Technology,ENTG,-19.53,12.73947624
Real Estate,EQIX,-0.88,66.327619307
Technology,ERIC,-7.82,19.180746397
Finance,ERIE,18.1,12.637938197
Finance,ESGR,-3.01,3.949261953
Industrials,ESLT,10.53,7.289402169
Consumer Discretionary,ETSY,-1.4,16.299260819
Health Care,EVO,-5.97,3.521357795
Utilities,EVRG,-4.57,14.254209509
Finance,EWBC,-8.14,11.01649568
Health Care,EXAS,-15.16,11.279382796
Utilities,EXC,-6.34,42.79716438
Health Care,EXEL,16.78,5.668287524
Technology,EXLS,2.94,5.638508114
Consumer Discretionary,EXPD,-9.51,17.727793178
Consumer Discretionary,EXPE,-23.63,16.708834473
Finance,EXPI,-7.57,2.256936713
Consumer Discretionary,EXPO,2.52,5.509186124
Telecommunications,EXTR,-9.41,2.494512685
Health Care,EYE,2.41,3.239356442
Consumer Discretionary,FA,-10.86,2.063202909
Energy,FANG,-20.72,24.50079395
Basic Materials,FAST,-7.74,30.505346782
Miscellaneous,FCFS,-2.09,4.2149924
Finance,FCNCA,-3.06,11.0464713
Consumer Discretionary,FELE,-0.9,4.465106774
Finance,FFBC,-4.44,2.421620846
Finance,FFIN,-2.51,5.445250936
Technology,FFIV,-5.28,8.830519897
Health Care,FGEN,18.63,2.237132551
Finance,FHB,-9.72,3.445177995
Finance,FIBK,3.39,3.87793146
Consumer Discretionary,FISV,-6.64,73.263189128
Finance,FITB,-12.65,25.2511127
Consumer Discretionary,FIVE,-11.07,11.683966334
Technology,FIVN,-4.09,5.670748839
Consumer Staples,FIZZ,1.81,4.310105517
Technology,FLEX,-15.43,10.70415251
Utilities,FLNC,-7.69,3.489720466
Technology,FLYW,-5.45,2.61816787
Finance,FOCS,-7.67,3.301200512
Health Care,FOLD,41.55,3.739381238
Technology,FORM,-15.17,2.431682502
Industrials,FOX,-4.85,18.292697507
Industrials,FOXA,-5.13,19.794815567
Consumer Discretionary,FOXF,1.78,5.187485734
Finance,FRHC,0.89,4.62583445
Finance,FRME,-10.64,2.502323955
Technology,FROG,15.9,2.326958859
nan,FRPT,-21.9,3.232230912
Technology,FRSH,-12.08,4.537569556
Technology,FSLR,-3.84,17.513169611
nan,FSV,-1.14,6.273956809
Consumer Discretionary,FTAI,-3.88,2.450743244
Consumer Discretionary,FTDR,3.52,2.31520934
Technology,FTNT,-0.76,47.810497075
Finance,FULT,-6.95,2.91119463
Finance,FUTU,48.63,6.642725378
Consumer Discretionary,FWONA,-0.65,14.754172996
Consumer Discretionary,FWONK,-0.24,16.369883541
