DATE,PCUARETTRARETTR
2017-01-01,125.8
2017-02-01,125.4
2017-03-01,127.1
2017-04-01,127.0
2017-05-01,126.9
2017-06-01,126.4
2017-07-01,125.6
2017-08-01,125.7
2017-09-01,126.4
2017-10-01,129.3
2017-11-01,127.5
2017-12-01,126.5
2018-01-01,126.0
2018-02-01,128.1
2018-03-01,127.8
2018-04-01,128.1
2018-05-01,128.2
2018-06-01,128.9
2018-07-01,127.9
2018-08-01,128.1
2018-09-01,128.0
2018-10-01,130.5
2018-11-01,131.0
2018-12-01,130.8
2019-01-01,129.7
2019-02-01,130.4
2019-03-01,130.6
2019-04-01,131.6
2019-05-01,130.6
2019-06-01,131.8
2019-07-01,130.6
2019-08-01,133.1
2019-09-01,133.3
2019-10-01,134.6
2019-11-01,132.4
2019-12-01,131.7
2020-01-01,131.9
2020-02-01,134.1
2020-03-01,136.4
2020-04-01,138.1
2020-05-01,135.5
2020-06-01,134.4
2020-07-01,135.9
2020-08-01,137.3
2020-09-01,139.4
2020-10-01,142.0
2020-11-01,138.6
2020-12-01,136.8
2021-01-01,138.9
2021-02-01,140.3
2021-03-01,142.3
2021-04-01,147.1
2021-05-01,148.1
2021-06-01,150.8
2021-07-01,150.566
2021-08-01,151.422
2021-09-01,152.842
2021-10-01,153.934
2021-11-01,153.951
2021-12-01,154.382
2022-01-01,155.697
2022-02-01,159.584
2022-03-01,164.511
2022-04-01,164.852
2022-05-01,162.381
2022-06-01,162.576
2022-07-01,162.461
2022-08-01,164.185
2022-09-01,164.006
2022-10-01,165.649
2022-11-01,163.831
2022-12-01,162.784
2023-01-01,160.133
2023-02-01,161.480
