Symbol,Name,Market_Cap,Country,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,2644811217000.0,United States,59095108,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,1920947939726.0,United States,29979605,Technology,Computer Software: Prepackaged Software
GOOG,Alphabet Inc. Class C Capital Stock,1211414130000.0,United States,31068400,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,1208340450000.0,United States,34244443,Technology,Internet and Information Services
AMZN,Amazon.com Inc. Common Stock,989193533040.0,United States,59967361,Consumer Discretionary,Catalog/Specialty Distribution
PCAR,PACCAR Inc. Common Stock,919477189402.0,United States,2597070,Industrials,Construction/Ag Equipment/Trucks
TSLA,Tesla Inc. Common Stock,659114233645.0,United States,213061640,Consumer Discretionary,Auto Manufacturing
NVDA,NVIDIA Corporation Common Stock,526144800000.0,United States,46493130,Technology,Semiconductors
META,Meta Platforms Inc. Class A Common Stock,448215525058.0,United States,24065579,Technology,Internet and Information Services
ASML,ASML Holding N.V. New York Registry Shares,262817903676.0,Netherlands,1149554,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,248888806123.0,United States,1421492,Technology,Semiconductors
PEP,PepsiCo Inc. Common Stock,242781861984.0,United States,3952095,Consumer Staples,Beverages (Production/Distribution)
COST,Costco Wholesale Corporation Common Stock,225183611189.0,United States,1339734,Consumer Discretionary,Department/Specialty Retail Stores
AZN,AstraZeneca PLC American Depositary Shares,213781953131.0,United Kingdom,3553115,Health Care,Biotechnology: Pharmaceutical Preparations
CSCO,Cisco Systems Inc. Common Stock (DE),208568392509.0,United States,25314942,Telecommunications,Computer Communications Equipment
