Symbol,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,Beta,Profit Margin,Avg Volume,Short Float / Ratio
AAL,,135.0,5.17,,,0.11,,-1.6,5.2,183.4,0.1,1.55,0.3,25190000.0,"(9.78, 2.49)"
AAON,8.33,47.45,27.98,3.95,0.14,1.85,0.55,19.5,16.1,520.7,0.4,0.79,11.3,234910.0,"(1.47, 2.64)"
AAPL,42.15,25.56,22.78,3.14,1.96,5.89,0.61,163.5,58.3,-10.3,0.07,1.29,24.6,72790000.0,"(0.7, 1.52)"
AAWW,0.92,9.45,7.34,0.95,0.75,10.53,,12.2,7.8,-33.4,0.2,1.16,7.8,463060.0,"(10.39, 6.29)"
ABCB,0.8,7.44,7.1,0.93,0.16,4.99,1.62,11.2,17.3,0.8,3.2,1.14,38.8,346240.0,"(2.48, 4.7)"
ABCL,1.72,14.93,,1.49,0.0,0.5,,12.9,11.0,-152.8,19.7,,32.7,1780000.0,"(10.88, 12.43)"
ABCM,3.93,427.14,,1095.24,0.32,0.04,,1.0,2.4,138.8,0.01,,1.9,746930.0,"(0.22, 0.63)"
ABNB,13.25,41.55,29.17,,0.36,2.79,,35.9,22.6,455.4,3.2,,22.5,6280000.0,"(5.0, 3.05)"
ACAD,7.86,,273.38,,0.0,,,-50.6,-56.5,2.6,0.1,0.56,-41.8,1350000.0,"(4.97, 5.97)"
ACGL,1.97,17.12,9.7,0.97,0.23,3.81,,12.3,8.9,43.5,0.9,0.74,15.1,1980000.0,"(1.55, 2.82)"
ACHC,2.18,22.87,18.52,1.91,0.5,2.99,,10.1,8.3,-12.9,0.6,1.33,10.5,581280.0,"(4.08, 6.29)"
ACIW,2.14,18.41,17.15,1.53,0.91,1.25,,11.8,7.8,-14.0,0.8,1.11,10.0,911720.0,"(2.34, 2.74)"
ACLS,6.03,22.44,17.62,1.12,0.07,5.46,,30.2,26.7,63.3,2.3,1.73,19.9,579080.0,"(5.89, 3.27)"
ACT,0.86,5.01,6.35,25.31,0.18,4.31,2.59,17.2,15.6,-6.6,81.6,,64.3,142550.0,"(3.92, 8.2)"
ADBE,10.78,32.12,18.68,2.32,0.29,10.1,,33.9,26.7,-1.8,0.32,1.28,27.0,2950000.0,"(1.2, 1.86)"
ADI,2.53,27.56,16.7,2.55,0.0,6.62,1.88,9.4,6.8,256.0,0.36,1.15,27.3,3310000.0,"(1.05, 1.61)"
ADP,29.62,28.37,23.71,2.11,1.0,7.53,2.34,96.9,47.1,18.7,0.1,0.82,18.2,1920000.0,"(1.03, 2.19)"
ADSK,47.22,52.31,23.73,3.28,2.9,3.78,,70.2,15.8,48.5,0.1,1.53,11.1,1360000.0,"(1.02, 1.61)"
AEIS,3.23,17.18,15.3,1.72,0.35,5.36,0.43,20.6,14.0,14.6,0.1,1.56,10.8,180100.0,"(4.81, 9.84)"
AEP,1.92,19.86,15.84,3.25,1.67,4.5,3.71,9.6,5.4,-30.1,0.03,0.45,11.7,2770000.0,"(1.42, 2.64)"
AFRM,1.21,,,,1.95,,,-31.7,-12.8,-93.5,0.3,,-65.2,18700000.0,"(18.96, 2.24)"
AGNC,0.91,,4.44,,5.83,,14.46,-20.1,,,0.56,1.23,,11270000.0,"(6.62, 3.36)"
AGYS,17.12,187.77,83.66,3755.45,0.0,0.41,,10.2,6.5,208.7,1.3,0.94,5.6,169930.0,"(1.41, 1.99)"
AHCO,0.82,28.67,11.76,0.99,1.02,0.46,,3.0,3.6,-111.1,0.7,0.69,2.1,1010000.0,"(10.81, 9.41)"
AIMC,2.0,31.55,16.49,2.1,0.52,1.94,0.59,6.5,5.8,125.1,0.5,2.18,6.5,958680.0,"(7.86, 5.29)"
AKAM,2.55,21.64,11.71,1.8,0.0,3.27,,12.2,8.3,15.4,0.1,0.8,14.5,1570000.0,"(5.66, 5.57)"
AKRO,4.73,,,,0.03,,,-60.1,,-31.7,2.1,,,740370.0,"(8.01, 4.6)"
ALGM,9.27,55.36,32.14,4.26,0.03,0.78,,18.8,15.2,94.0,0.7,,16.7,1600000.0,"(7.56, 4.15)"
ALGN,6.79,68.58,32.39,1.59,0.0,4.6,,9.9,11.2,-77.6,0.3,1.59,9.7,1110000.0,"(3.32, 2.18)"
ALHC,4.91,,,,0.68,,,-54.5,-32.9,-16.3,4.1,,-10.4,796070.0,"(2.15, 4.66)"
ALKS,4.17,,19.04,,0.28,,,-14.9,-10.0,,1.77,0.61,-14.2,1330000.0,"(5.56, 6.76)"
ALNY,,,,,,,,,-100.8,22.0,0.1,0.49,,778100.0,"(4.4, 6.92)"
ALRM,4.04,47.35,24.17,9.76,0.82,1.03,,9.7,4.6,87.9,1.1,1.04,6.7,211330.0,"(3.51, 7.87)"
ALTR,9.13,,55.52,,0.54,,,-7.6,-2.5,950.1,0.7,1.5,-7.6,301190.0,"(4.98, 8.53)"
ALVO,,,,,,,,,-139.5,-37.4,73.64,,,131740.0,"(0.46, 1.95)"
AMAT,7.29,15.52,16.86,1.24,0.43,7.46,0.9,52.4,38.0,1.2,0.35,1.6,24.6,6360000.0,"(1.46, 1.92)"
AMBA,4.99,,144.93,,0.0,,,-7.5,-5.0,,5.3,1.56,-12.7,541410.0,"(3.16, 2.12)"
AMD,2.42,92.67,18.95,9.16,0.05,0.89,,2.4,2.4,-98.4,0.5,1.91,5.6,56880000.0,"(2.13, 0.6)"
AMED,2.54,22.58,17.21,,0.41,3.63,,11.8,9.3,-6.1,0.3,1.05,5.3,432360.0,"(6.54, 4.83)"
AMGN,34.09,19.24,12.39,4.67,10.64,12.12,3.65,246.1,20.6,-10.8,0.21,0.64,24.9,2500000.0,"(1.38, 2.95)"
AMKR,1.67,8.04,8.84,1.07,0.35,3.11,1.2,22.8,16.3,-24.4,6.1,1.77,10.8,1030000.0,"(3.08, 3.02)"
AMLX,12.67,,,,0.0,,,-172.5,54.7,13.0,24.57,,,814230.0,"(10.93, 6.71)"
AMZN,6.47,,36.81,,0.61,,,-2.0,6.6,-98.0,9.8,1.25,-0.5,71740000.0,"(0.64, 0.82)"
ANSS,5.41,50.57,31.62,5.44,0.0,5.99,,11.5,9.6,28.0,0.1,1.24,25.4,491260.0,"(0.86, 1.51)"
APA,25.38,3.19,4.21,0.23,12.89,10.83,2.9,924.9,76.9,34.9,0.44,3.56,33.2,5640000.0,"(3.75, 2.05)"
APLS,40.69,,,,2.58,,,-204.8,-103.4,6.5,1.5,1.23,,1510000.0,"(11.48, 7.1)"
APP,2.42,,24.14,,1.71,,,-10.0,-0.7,-393.9,4.3,,-6.8,3250000.0,"(14.55, 4.92)"
APPF,15.5,,188.55,,0.0,,,-25.0,-27.8,,1.1,0.98,-14.4,113390.0,"(2.74, 4.53)"
APPN,20.02,,,,0.81,,,-78.8,-55.2,-30.7,0.8,1.62,-32.2,438140.0,"(8.36, 7.61)"
ARCB,1.98,8.01,8.05,0.6,0.23,11.68,0.51,27.6,21.5,-40.0,1.8,1.57,5.6,279440.0,"(6.08, 5.23)"
ARCC,0.97,15.61,7.84,,,1.14,10.79,,,-54.5,1.38,,,3150000.0,"(3.28, 5.45)"
ARGX,6.54,,,,0.0,,,,-14.0,-4.0,,0.75,,232170.0,"(1.65, 3.92)"
ARHS,5.85,15.76,10.47,0.91,0.25,0.56,,94.1,52.9,512.2,0.2,,12.3,1080000.0,"(9.53, 4.5)"
ARLP,1.48,4.27,3.02,,0.26,4.39,14.93,39.6,29.7,312.1,16.3,1.41,23.2,554110.0,"(3.8, 6.17)"
ARRY,47.95,,25.3,,12.5,,,-136.3,-2.2,174.8,0.3,,-3.9,4480000.0,"(12.05, 3.99)"
ARWR,7.42,,,,0.0,,,-36.8,-45.7,35.2,3.4,1.08,-55.5,1030000.0,"(4.48, 4.51)"
ASML,25.43,40.28,24.96,1.35,0.0,15.02,1.64,67.7,42.3,5.7,0.4,1.47,26.6,1040000.0,"(0.27, 1.03)"
ASND,21.62,,,,1.93,,,-116.9,-73.5,-98.7,0.07,0.56,,326390.0,"(5.76, 10.05)"
ASO,2.97,8.24,7.54,0.75,0.44,7.1,0.62,40.3,33.3,-5.8,1.3,,9.5,1300000.0,"(15.5, 9.33)"
ATAT,4.76,176.86,35.37,,,0.14,,,,-0.8,25.69,,,270380.0,"(0.25, 0.72)"
ATVI,3.19,40.74,18.82,3.46,0.19,1.92,0.6,8.2,6.3,-29.3,0.1,0.4,20.1,6010000.0,"(1.96, 2.52)"
AUR,0.86,,,,0.0,,,-74.1,-103.8,-12.9,0.2,,,2220000.0,"(3.35, 5.01)"
AVAV,3.62,,43.54,,0.27,,,-1.4,0.9,,0.9,0.57,-1.7,183300.0,"(5.41, 7.28)"
AVDX,2.34,,,,0.22,,,-14.9,-10.9,73.2,4.6,,-32.0,1520000.0,"(2.91, 3.43)"
AVGO,11.05,20.73,13.96,2.21,1.69,29.74,2.98,57.4,21.4,57.4,0.1,1.11,36.6,2290000.0,"(1.19, 2.16)"
AVT,0.87,4.75,7.5,0.46,0.72,8.91,2.74,20.3,13.7,74.8,0.6,1.38,3.3,601880.0,"(3.6, 5.43)"
AXNX,4.46,,,,0.0,,,-11.8,-10.9,104.1,0.7,0.43,-21.8,694360.0,"(8.34, 5.66)"
AXON,11.85,103.89,56.16,3.93,0.53,2.03,,12.2,2.3,305.2,1.2,0.94,12.4,731400.0,"(2.84, 2.62)"
