sector,name,rate,market cap
Industrials,CSWI,14.66,2.183821416
Industrials,CSX,11.11,65.616176432
Consumer Discretionary,CTAS,12.53,45.129654724
Technology,CTSH,-0.6,33.32932
Finance,CVBF,6.36,3.405983605
Consumer Discretionary,CVCO,29.9,2.476226286
Technology,CVLT,-12.33,2.777007501
Technology,CVT,17.56,3.849699057
Utilities,CWST,12.39,3.986614716
Technology,CYBR,-0.54,5.949877157
Health Care,CYTK,0.27,4.325583056
Consumer Discretionary,CZR,19.49,11.329090344
Consumer Discretionary,DADA,-30.76,2.755250552
Technology,DBX,4.38,7.697265941
Technology,DCT,-2.58,2.508929386
Technology,DDOG,2.38,25.401611442
Technology,DIOD,32.22,4.275753842
Consumer Discretionary,DISH,-6.1,7.509496565
Consumer Discretionary,DKNG,19.88,9.219342747
Consumer Discretionary,DLO,5.24,4.629206823
Consumer Discretionary,DLTR,6.67,32.744150271
Health Care,DNLI,4.9,4.145033147
Consumer Discretionary,DNUT,5.74,2.195100683
Technology,DOCU,7.01,12.963250322
nan,DOOO,22.2,7.005984199
Consumer Discretionary,DORM,-8.08,3.04351736
Technology,DOX,2.2,11.43656592
Industrials,DRS,12.82,3.424064342
nan,DRVN,11.12,4.806170189
nan,DSGX,10.85,6.373224069
Technology,DUOL,-0.68,3.669103778
Health Care,DXCM,7.99,44.344835064
Consumer Discretionary,EA,6.63,30.713490752
Consumer Discretionary,EBAY,14.11,26.177874357
Finance,EBC,7.16,2.769424988
Technology,EEFT,-2.88,5.464253368
Finance,EFSC,10.22,2.07387451
Technology,ENPH,43.52,27.980605716
Health Care,ENSG,8.16,5.08945665
Technology,ENTG,24.78,12.73947624
Real Estate,EQIX,3.18,66.327619307
Technology,ERIC,1.88,19.180746397
Finance,ERIE,4.61,12.637938197
Finance,ESGR,-10.81,3.949261953
Industrials,ESLT,1.34,7.289402169
Consumer Discretionary,ETSY,29.82,16.299260819
Health Care,EVO,4.52,3.521357795
Utilities,EVRG,2.48,14.254209509
Finance,EWBC,8.74,11.01649568
Health Care,EXAS,14.78,11.279382796
Utilities,EXC,0.09,42.79716438
Health Care,EXEL,-2.83,5.668287524
Technology,EXLS,13.34,5.638508114
Consumer Discretionary,EXPD,9.12,17.727793178
Consumer Discretionary,EXPE,6.63,16.708834473
Finance,EXPI,19.55,2.256936713
Consumer Discretionary,EXPO,6.39,5.509186124
Telecommunications,EXTR,44.13,2.494512685
Health Care,EYE,7.05,3.239356442
Consumer Discretionary,FA,10.09,2.063202909
Energy,FANG,3.89,24.50079395
Basic Materials,FAST,3.62,30.505346782
Miscellaneous,FCFS,3.75,4.2149924
Finance,FCNCA,13.6,11.0464713
Consumer Discretionary,FELE,24.14,4.465106774
Finance,FFBC,13.4,2.421620846
Finance,FFIN,11.52,5.445250936
Technology,FFIV,7.96,8.830519897
Health Care,FGEN,6.67,2.237132551
Finance,FHB,12.99,3.445177995
Finance,FIBK,5.24,3.87793146
Consumer Discretionary,FISV,14.64,73.263189128
Finance,FITB,0.86,25.2511127
Consumer Discretionary,FIVE,18.41,11.683966334
Technology,FIVN,13.14,5.670748839
Consumer Staples,FIZZ,10.17,4.310105517
Technology,FLEX,16.7,10.70415251
Utilities,FLNC,51.11,3.489720466
Technology,FLYW,25.05,2.61816787
Finance,FOCS,17.64,3.301200512
Health Care,FOLD,-9.07,3.739381238
Technology,FORM,2.41,2.431682502
Industrials,FOX,1.67,18.292697507
Industrials,FOXA,1.12,19.794815567
Consumer Discretionary,FOXF,14.76,5.187485734
Finance,FRHC,18.59,4.62583445
Finance,FRME,14.58,2.502323955
Technology,FROG,2.6,2.326958859
nan,FRPT,0.61,3.232230912
Technology,FRSH,0.0,4.537569556
Technology,FSLR,45.99,17.513169611
nan,FSV,9.03,6.273956809
Consumer Discretionary,FTAI,16.93,2.450743244
Consumer Discretionary,FTDR,6.24,2.31520934
Technology,FTNT,4.69,47.810497075
Finance,FULT,14.26,2.91119463
Finance,FUTU,-22.52,6.642725378
Consumer Discretionary,FWONA,9.01,14.754172996
Consumer Discretionary,FWONK,8.65,16.369883541
Consumer Discretionary,FWRD,15.11,2.855467561
Consumer Discretionary,FYBR,3.83,6.85766196
Finance,GBDC,6.57,2.337852766
Technology,GDRX,2.11,2.095843439
Technology,GDS,-21.26,3.997825501
Technology,GEHC,0.0,33.271130993
Technology,GEN,11.18,13.447284049
Technology,GFS,40.53,36.607132633
Health Care,GH,10.81,2.914309008
Health Care,GILD,-4.43,105.69572
Technology,GLBE,10.3,4.122971852
Energy,GLNG,1.64,2.39284469
Health Care,GLPG,-10.14,2.595894199
Real Estate,GLPI,10.17,13.565991609
Health Care,GMAB,4.94,26.3846292
Consumer Discretionary,GNTX,0.04,6.720778483
Consumer Discretionary,GO,-2.76,2.883348878
Consumer Discretionary,GOGO,11.81,2.056687369
Technology,GOOG,5.87,1211.41413
Technology,GOOGL,5.63,1208.34045
Industrials,GPRE,23.55,2.053884683
Consumer Discretionary,GRAB,21.01,13.402621012
Health Care,GRFS,-31.14,7.006358362
Consumer Discretionary,GT,13.78,3.339530449
Technology,GTLB,7.27,6.803865
Health Care,HALO,9.11,6.764709292
Consumer Discretionary,HAS,-2.3,8.198430538
Finance,HBAN,10.33,22.223247754
Health Care,HCM,-10.26,2.767281088
Technology,HCP,21.72,5.768744181
Consumer Discretionary,HELE,-19.04,2.800378688
Finance,HLNE,10.96,3.065453942
Health Care,HOLX,1.15,20.397414571
Industrials,HON,9.64,134.576809558
Technology,HOOD,10.51,9.23997876
Energy,HPK,-4.19,3.06105447
Health Care,HQY,-1.08,5.592153502
Health Care,HRMY,-5.33,2.922575886
Health Care,HSIC,1.66,11.269425386
Real Estate,HST,13.56,12.112570271
Consumer Discretionary,HTHT,-4.09,15.670874754
Finance,HTLF,6.32,2.128041113
Consumer Discretionary,HTZ,29.24,6.27406906
Consumer Discretionary,HUBG,7.45,3.215511308
Finance,HWC,8.55,4.37009985
Health Care,HZNP,0.05,25.107068911
Consumer Discretionary,IAC,-8.16,4.662805
Health Care,IART,3.4,4.805635099
Finance,IBKR,0.91,8.921077184
Finance,IBOC,7.93,2.873384666
Finance,IBTX,3.58,2.515102738
Health Care,ICLR,11.24,18.580016142
Health Care,ICUI,5.54,4.300138544
Telecommunications,IDCC,1.35,2.20396038
Health Care,IDXX,11.07,41.115306472
Industrials,IEP,11.55,18.314711321
Health Care,ILMN,12.86,33.320859
Health Care,IMCR,19.79,3.001724731
Health Care,INCY,-0.35,17.614236422
Finance,INDB,3.51,3.701047989
Health Care,INMD,52.51,3.075285347
Health Care,INSM,-0.05,2.792177033
Technology,INTA,0.61,2.484407802
Technology,INTC,1.71,114.22257
Technology,INTU,15.49,113.600593033
Health Care,IONS,-1.5,5.48314297
Industrials,IOSP,7.46,5.711274781
Consumer Discretionary,IPAR,13.08,3.76642385
Technology,IPGP,18.39,6.314295171
Technology,IQ,-18.76,6.576914757
Consumer Discretionary,IRDM,17.44,8.16550835
Health Care,IRTC,40.71,3.394399277
Health Care,ISEE,11.81,2.942898004
Health Care,ISRG,10.89,83.71159821
Health Care,ITCI,-6.25,4.736199751
Industrials,ITRI,19.86,2.585988319
Technology,JAMF,-8.8,2.513931749
Health Care,JAZZ,-4.75,9.302014454
Industrials,JBHT,13.57,19.53999405
Consumer Discretionary,JBLU,0.7,2.791825033
Consumer Discretionary,JD,-10.9,83.00281
Consumer Staples,JJSF,-3.04,2.740564112
Technology,JKHY,12.62,12.335432863
Consumer Staples,KDP,7.87,50.517684121
Consumer Staples,KHC,-3.13,48.99720656
Technology,KLAC,30.17,53.719070051
Technology,KLIC,21.3,3.035069042
Health Care,KRTX,-1.83,6.782524924
Health Care,KRYS,3.41,2.014753378
Real Estate,LAMR,13.99,10.954360223
Consumer Staples,LANC,3.22,5.4149444
Consumer Discretionary,LAZR,8.77,2.452243073
Consumer Discretionary,LBRDA,-8.45,13.702223897
Consumer Discretionary,LBRDK,-9.2,13.654944281
Telecommunications,LBTYA,2.32,9.627224721
Telecommunications,LBTYB,4.42,10.068587459
Telecommunications,LBTYK,2.47,9.852503618
Consumer Discretionary,LCID,9.0,19.983430519
Industrials,LECO,13.26,10.178702536
Health Care,LEGN,-19.23,8.371813628
Miscellaneous,LESL,3.17,2.49043577
Health Care,LFST,13.3,2.049125913
Technology,LFUS,12.09,6.672866859
Consumer Discretionary,LGIH,22.79,2.661846787
Health Care,LHCG,4.86,5.244887668
Consumer Discretionary,LI,-9.55,23.457079306
Technology,LIFW,-24.06,3.802621651
Telecommunications,LILA,-7.98,2.006763783
Telecommunications,LILAK,-8.88,2.013286309
Technology,LITE,16.5,3.98396
Health Care,LIVN,0.05,2.991919098
Consumer Discretionary,LKQ,11.57,15.720576117
Utilities,LNT,1.38,13.547648165
Health Care,LNTH,19.04,4.110652295
Consumer Discretionary,LNW,1.13,6.025085244
Technology,LOGI,9.8,9.270380898
Consumer Discretionary,LOPE,0.86,3.66976169
Finance,LPLA,14.22,19.81120727
Technology,LRCX,27.35,66.882481353
Technology,LSCC,36.97,11.937875308
Industrials,LSTR,5.56,6.595839766
Consumer Discretionary,LSXMA,9.28,11.0540063
Consumer Discretionary,LSXMB,-1.23,12.385971619
Consumer Discretionary,LSXMK,9.01,11.047477058
Consumer Discretionary,LULU,17.7,40.850621145
nan,LUNR,0.62,3.611362933
Technology,LYFT,3.12,4.175348265
Technology,MANH,19.56,9.081289546
Consumer Discretionary,MAR,14.65,53.157062351
Health Care,MASI,6.54,8.660028229
Consumer Discretionary,MAT,4.89,6.783245437
Consumer Discretionary,MBLY,0.0,35.244028225
Technology,MCHP,23.15,45.614964343
Technology,MDB,18.22,14.766874029
Health Care,MDGL,-17.69,5.41317388
Consumer Staples,MDLZ,2.45,91.137062856
Health Care,MEDP,12.19,6.410616034
Consumer Discretionary,MELI,23.34,55.368138857
nan,MEOH,-5.21,3.332760686
Technology,META,-0.06,448.215525058
Utilities,MGEE,2.37,2.604847541
Consumer Staples,MGPI,4.9,2.147057794
Consumer Discretionary,MGRC,8.79,2.607946317
Industrials,MIDD,12.17,8.356795427
Industrials,MKSI,24.87,6.334104775
Finance,MKTX,4.51,13.367470425
Consumer Discretionary,MLCO,-15.28,5.594766505
Health Care,MMSI,9.17,3.982650768
Technology,MMYT,16.6,2.799234384
Technology,MNDY,-2.56,6.903011355
Consumer Staples,MNST,4.12,54.39500917
Finance,MORN,2.68,10.102192744
Technology,MPWR,26.67,23.65195363
Technology,MQ,19.1,3.237909533
nan,MRCY,-7.27,3.135501636
Health Care,MRNA,7.71,64.004466135
Health Care,MRTX,-7.57,2.784901565
Technology,MRVL,30.04,37.660248
Technology,MSFT,7.1,1920.947939726
Technology,MSTR,65.34,3.395990801
Technology,MTCH,2.85,12.186125405
Technology,MTSI,30.83,4.806438426
Technology,MU,16.57,64.390328334
Technology,MXL,27.36,2.893122602
Health Care,NARI,15.63,3.0045596
Technology,NATI,25.31,6.809149309
Finance,NAVI,15.99,2.4102
Health Care,NBIX,-7.27,10.000712305
Technology,NCNO,0.47,3.175587358
Finance,NDAQ,14.96,28.930591336
Industrials,NDSN,13.75,14.078535328
Health Care,NEOG,-7.08,4.398739659
Utilities,NFE,24.82,7.843492206
Consumer Discretionary,NFLX,25.71,154.962864177
Technology,NICE,12.52,13.936299673
Finance,NMIH,12.29,2.023642825
nan,NOVT,27.84,5.83784765
Technology,NSIT,9.91,4.546162351
Technology,NTAP,14.62,14.531799995
Technology,NTCT,4.93,2.126738692
Consumer Discretionary,NTES,-2.06,56.379553539
Health Care,NTLA,16.16,3.48143398
Technology,NTNX,2.29,6.528237609
Health Care,NTRA,29.33,5.44292092
Finance,NTRS,1.05,20.15707188
Health Care,NUVA,2.75,2.317330084
Health Care,NVCR,-5.85,8.893469949
Technology,NVDA,26.98,526.1448
Consumer Discretionary,NVEE,17.5,2.002725283
nan,NVEI,-1.51,4.697248771
Technology,NVMI,26.24,2.609926999
Utilities,NWE,-10.2,3.49356251
Industrials,NWL,3.95,6.16264
Consumer Discretionary,NWS,7.39,10.999817627
Consumer Discretionary,NWSA,8.76,10.936501042
nan,NWTN,0.54,3.313379827
Technology,NXPI,26.29,48.836556093
Consumer Discretionary,NXST,11.88,7.547721951
Industrials,ODFL,16.39,39.20329875
Miscellaneous,ODP,21.38,2.390858502
Technology,OKTA,2.66,11.855156116
Technology,OLED,13.34,6.261677996
Industrials,OLK,-10.67,2.64397822
Consumer Discretionary,OLLI,-0.08,3.609862754
Miscellaneous,OLPX,19.9,3.564005524
Consumer Discretionary,OMAB,-0.23,3.789287473
Health Care,OMCL,-3.52,2.411537966
Technology,ON,35.91,35.360892867
Finance,ONB,15.27,5.27518303
Health Care,ONEM,105.07,3.271649472
Health Care,OPCH,18.68,5.344249323
Consumer Discretionary,ORLY,11.46,54.434985465
nan,OTEX,6.61,9.514892526
Utilities,OTTR,1.87,2.964956401
Finance,OZK,7.31,5.574772447
Energy,PAA,8.61,9.092291559
nan,PAAS,1.25,3.415253501
Health Care,PACB,0.0,2.573148174
Finance,PACW,2.16,3.322937655
Energy,PAGP,4.84,2.603433284
Technology,PANW,-0.12,51.182980603
Consumer Discretionary,PARA,-4.2,15.378941797
Consumer Discretionary,PARAA,-1.72,17.521217353
Finance,PAX,5.24,2.443402638
Consumer Discretionary,PAYX,8.78,41.363536383
Industrials,PCAR,9.58,919.477189402
Real Estate,PCH,10.15,3.814271052
Technology,PCTY,16.13,11.673159675
Health Care,PCVX,5.26,3.492504267
Energy,PDCE,5.14,5.799585089
Health Care,PDCO,0.88,2.79749976
Consumer Discretionary,PDD,-26.43,118.118909198
Real Estate,PECO,-0.56,4.01039424
Technology,PEGA,-18.28,3.964069856
Consumer Discretionary,PENN,9.76,4.994900813
Consumer Staples,PEP,4.46,242.781861984
Finance,PFG,-0.96,22.165805
Health Care,PGNY,5.2,3.121805764
Utilities,PI,58.45,3.399898428
Health Care,PINC,5.55,3.972546436
Consumer Discretionary,PLAY,12.52,2.061995298
Technology,PLTK,-7.35,3.571520573
Consumer Discretionary,PLUG,23.63,9.081650879
Technology,PLXS,20.54,2.775234747
Finance,PNFP,7.91,5.986411858
Health Care,PODD,8.49,20.556816088
Industrials,POOL,3.24,14.705681726
Technology,POWI,18.34,4.710524094
Finance,PPBI,11.25,3.202233312
Consumer Staples,PPC,-2.48,5.885722495
Technology,PRFT,19.57,2.564236278
Technology,PRGS,4.66,2.505791041
Health Care,PROK,1.22,2.691941985
Health Care,PRTA,6.49,2.757891156
Technology,PRVA,27.4,3.209503172
Finance,PSEC,7.81,3.059671089
Consumer Discretionary,PSMT,-9.12,2.267337959
Consumer Discretionary,PSNY,-6.61,11.348456583
Consumer Discretionary,PSNYW,-8.7,2.172659903
Technology,PTC,14.2,15.408512719
Health Care,PTCT,7.24,3.406581951
Energy,PTEN,8.39,3.012548021
Consumer Discretionary,PTON,6.13,4.705875414
Consumer Discretionary,PTVE,2.83,2.010952631
Technology,PYCR,4.82,4.64737908
Consumer Discretionary,PYPL,24.04,84.468330429
Consumer Discretionary,PZZA,8.86,3.352288438
Technology,QCOM,19.35,142.4078
Health Care,QDEL,4.94,6.035885268
Finance,QFIN,-20.78,3.341995517
Technology,QLYS,-4.51,4.504240599
Consumer Discretionary,QRTEB,379.74,2.15567365
Industrials,QRVO,11.21,10.296579767
Health Care,RARE,-19.19,3.414846406
Consumer Discretionary,RCM,14.97,5.868637989
Real Estate,REG,5.58,10.978987203
Health Care,REGN,-3.14,81.85639883
Technology,RELY,22.65,2.007006323
Industrials,REYN,8.48,5.907633823
Health Care,RGEN,27.65,10.54964341
Industrials,RGLD,-4.23,8.004593997
Consumer Discretionary,RIVN,35.45,18.621726377
Industrials,RKLB,24.47,2.323692808
Health Care,RLAY,-0.11,2.230510923
Technology,RMBS,22.68,4.751779662
Finance,RNST,12.07,2.091527028
Utilities,RNW,0.3,2.173668922
Health Care,ROIV,-16.74,6.537643757
Telecommunications,ROKU,-14.56,9.966126565
Consumer Discretionary,ROST,15.3,39.840282031
Technology,RPD,-3.97,2.944025224
Health Care,RPRX,0.07,16.769402575
Consumer Discretionary,RRR,16.62,2.681939375
Technology,RUM,0.5,2.584743587
Industrials,RUN,24.01,5.372344756
Consumer Discretionary,RUSHA,0.51,3.274415311
Consumer Discretionary,RUSHB,7.0,3.413752133
Health Care,RVMD,-5.12,2.272156546
Health Care,RVNC,9.28,2.7792016
Health Care,RXDX,43.99,5.778886111
Consumer Discretionary,RYAAY,7.79,21.468380954
Health Care,SAGE,6.72,2.708153406
Industrials,SAIA,28.39,7.485172284
Technology,SANM,12.35,3.707462521
Real Estate,SBAC,0.72,30.364227907
Finance,SBCF,8.78,2.692948559
Consumer Discretionary,SBLK,15.38,2.220122732
Finance,SBNY,-0.46,7.822695661
Real Estate,SBRA,8.96,3.00731541
Consumer Discretionary,SBUX,7.13,123.09003
Technology,SEDG,29.78,17.122933556
Finance,SEIC,1.6,8.2375468
Consumer Discretionary,SFM,7.12,3.497365609
Finance,SFNC,11.29,2.87887718
Health Care,SGEN,-2.58,30.358875819
Industrials,SGML,21.79,3.05118
Health Care,SGRY,20.04,4.291129325
Health Care,SHC,-2.9,5.078042982
Technology,SHLS,37.42,2.976650489
Consumer Discretionary,SHOO,4.05,2.723585331
Finance,SIGI,-11.89,6.1732658
Health Care,SILK,16.2,2.054805391
Technology,SIMO,4.84,2.300965824
Consumer Discretionary,SIRI,7.57,17.896302033
Technology,SITM,29.9,2.602754207
Finance,SIVB,-0.67,17.324935624
Technology,SLAB,15.85,5.720154143
Finance,SLM,-4.17,3.506999
Technology,SMCI,41.17,4.933545793
Consumer Staples,SMPL,-15.38,3.754803813
Technology,SMTC,12.51,2.034508423
Finance,SNEX,9.13,2.141888095
Technology,SNPS,22.83,54.024274413
Health Care,SNY,-4.14,119.045369825
Finance,SOFI,17.56,5.369771446
Consumer Discretionary,SONO,21.88,2.625913327
Technology,SPLK,13.64,17.1885
Technology,SPSC,12.42,5.473294688
Technology,SPT,-10.9,3.344588588
Technology,SPWR,26.71,2.837433088
Technology,SRAD,13.63,3.689583419
Utilities,SRCL,8.54,5.156785211
Health Care,SRPT,20.92,10.935075492
Finance,SSB,6.73,6.228971444
Technology,SSNC,0.41,15.55297378
nan,SSRM,-5.24,2.894577548
Health Care,STAA,12.65,3.386010442
Industrials,STLD,16.84,21.941158983
Technology,STNE,21.24,2.904172429
Consumer Discretionary,STRA,3.53,2.302800974
Technology,STX,15.13,14.507556285
Health Care,SUPN,7.33,2.124484823
Health Care,SWAV,7.24,7.205688756
Technology,SWKS,20.07,18.414773214
Technology,SYNA,26.12,4.80785855
Health Care,SYNH,10.58,4.060592787
Finance,TBBK,20.78,2.069426539
Finance,TCBI,10.37,3.189822738
Consumer Discretionary,TCOM,-9.21,23.404782129
Technology,TEAM,6.62,43.199797739
Health Care,TECH,8.52,11.946624192
Technology,TENB,-17.24,4.9518528
Industrials,TER,16.9,16.393334367
Finance,TFSL,8.32,4.047926082
Health Care,TGTX,21.23,2.621969085
Consumer Discretionary,THRM,1.72,2.429766524
Telecommunications,TIGO,3.66,3.3562796
Health Care,TMDX,30.06,2.110190942
Telecommunications,TMUS,5.1,182.114867479
Health Care,TNDM,5.58,2.678687383
Finance,TOWN,6.44,2.297547685
Finance,TPG,16.32,2.672767156
nan,TRIP,2.44,3.083139144
Industrials,TRMB,20.23,13.7448
Consumer Discretionary,TRMD,30.09,2.623764592
Finance,TROW,7.03,26.631139
Health Care,TRUP,5.41,2.372887278
Consumer Discretionary,TSCO,-1.23,26.400715555
Technology,TSEM,2.65,4.473165238
Consumer Discretionary,TSLA,30.81,659.114233645
Technology,TTD,9.05,29.517520958
Technology,TTEC,9.8,2.346809498
Consumer Discretionary,TTEK,10.24,7.645934867
Technology,TTWO,2.16,18.977571258
Finance,TW,1.49,15.095331782
Technology,TWKS,8.6,3.082271725
Consumer Staples,TWNK,6.32,3.031195726
Health Care,TXG,-14.98,5.907462319
Technology,TXN,20.37,158.875999979
Consumer Discretionary,TXRH,14.93,6.980546824
Consumer Discretionary,UAL,3.43,16.225428253
Finance,UBSI,10.33,5.609439429
Finance,UCBI,9.75,3.830977831
Basic Materials,UFPI,33.08,5.353834466
Consumer Discretionary,ULCC,37.56,2.434600771
nan,ULTA,2.99,26.96680863
Finance,UMBF,4.18,4.429439765
Finance,UMPQ,0.86,4.074090854
Consumer Discretionary,URBN,7.71,2.620556573
Health Care,UTHR,-5.34,11.656761755
Consumer Discretionary,VC,19.55,4.591214597
Finance,VCTR,13.03,2.257425155
Technology,VERX,2.82,2.309113815
Technology,VIAV,14.44,2.504021372
Technology,VICR,34.37,2.699734588
Health Care,VIR,6.03,3.426396085
Finance,VIRT,-0.81,3.693069603
Finance,VLY,11.24,6.21827859
Energy,VNOM,8.61,2.227779784
Telecommunications,VOD,-5.32,33.580569376
Technology,VRNS,-16.84,2.941149434
Technology,VRNT,6.67,2.527946944
Consumer Discretionary,VRRM,5.62,2.381525
Consumer Discretionary,VRSK,7.83,27.700997584
Technology,VRSN,13.06,21.555963
Health Care,VRTX,-4.7,75.497472564
Technology,VSAT,16.16,2.592871566
Health Care,VTRS,-9.8,14.176282951
Health Care,VTYX,13.05,2.510172139
Finance,WAFD,13.36,2.413171819
Technology,WB,-24.56,5.031671017
Consumer Staples,WBA,3.45,31.705630645
Telecommunications,WBD,8.07,37.470150511
Technology,WDAY,9.29,47.7506
