title,datetime,link,Negative,Neutral,Positive,Compound
Envision Healthcare Acquires Sunshine Radiology in Tampa Bay,2017-01-04 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTA0MDA2NTA4L2VuL0VudmlzaW9uLUhlYWx0aGNhcmUtQWNxdWlyZXMtU3Vuc2hpbmUtUmFkaW9sb2d5LWluLVRhbXBhLUJhedIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.526,0.474,0.7506
Heron drug for post-surgery pain succeeds in midstage trial,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtaGVyb24tcGFpbi1pZFVTS0JOMTRPMjg30gEA?hl=en-US&gl=US&ceid=US%3Aen,0.326,0.291,0.384,0.0
Boston Sci giving lift to new erectile dysfunction device,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2Jvc3Rvbi1zY2ktZ2l2aW5nLWxpZnQtbmV3LWVyZWN0aWxlLWR5c2Z1bmN0aW9uLWRldmljZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.397,0.603,0.0,-0.6808
Otonomy's ear infection drug succeeds in late-stage trial,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvb3Rvbm9teS10cmlhbHMtaWRVU0w0TjFFVjNJS9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.565,0.435,0.7506
Robot-assisted adrenalectomy: current perspectives | RSRR,2017-01-05 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmRvdmVwcmVzcy5jb20vcm9ib3QtYXNzaXN0ZWQtYWRyZW5hbGVjdG9teS1jdXJyZW50LXBlcnNwZWN0aXZlcy1wZWVyLXJldmlld2VkLWZ1bGx0ZXh0LWFydGljbGUtUlNSUtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Steve Schierling, MD, FACS Joins Surgical Group of North Texas",2017-01-05 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE3LzAxL3Byd2ViMTM5NTc1MjAuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.702,0.298,0.5267
O'Connor Capital Partners Acquires The Shops at Stonefield in ...,2017-01-05 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3dkLmNvbS9mZWF0dXJlL29jb25ub3ItY2FwaXRhbC1wYXJ0bmVycy1hY3F1aXJlcy10aGUtc2hvcHMtYXQtc3RvbmVmaWVsZC1pbi1jaGFybG90dGVzdmlsbGUtdmEtMTA3MzgwNzEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Boy with world's largest head has surgery to remove fluid from around his skull,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDA5NTA1Ni9Cb3ktd29ybGQtcy1sYXJnZXN0LWhlYWQtc3VyZ2VyeS1yZW1vdmUtMy03LUxJVFJFUy1mbHVpZC1mcm9tYS1yb3VuZC1za3VsbC5odG1s0gGGAWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS00MDk1MDU2L2FtcC9Cb3ktd29ybGQtcy1sYXJnZXN0LWhlYWQtc3VyZ2VyeS1yZW1vdmUtMy03LUxJVFJFUy1mbHVpZC1mcm9tYS1yb3VuZC1za3VsbC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Touch Surgery brings surgery training to augmented reality,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8wNi90b3VjaC1zdXJnZXJ5LWFyL9IBN2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8wNi90b3VjaC1zdXJnZXJ5LWFyL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Ned and Robert Schwing Join with Silversmith Capital Partners to ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiqAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL25lZC1hbmQtcm9iZXJ0LXNjaHdpbmctam9pbi13aXRoLXNpbHZlcnNtaXRoLWNhcGl0YWwtcGFydG5lcnMtdG8tZm9ybS1uZXctcGxhdGZvcm0tcGFydG5lcnMtc3VyZ2ljYWwtY29ycG9yYXRpb24tMzAwMzg2OTEwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.638,0.362,0.5267
California funds 1st U.S. inmate sex reassignment surgery for Shiloh Heavenly Quine,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvY2FsaWZvcm5pYS1mdW5kcy0xc3QtdS1zLWlubWF0ZS1zZXgtcmVhc3NpZ25tZW50LXNoaWxvaC1oZWF2ZW5seS1xdWluZS_SAWhodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy9jYWxpZm9ybmlhLWZ1bmRzLTFzdC11LXMtaW5tYXRlLXNleC1yZWFzc2lnbm1lbnQtc2hpbG9oLWhlYXZlbmx5LXF1aW5lLw?hl=en-US&gl=US&ceid=US%3Aen,0.25,0.4,0.35,0.4588
Miniature brain and skull found inside 16-year-old girl's ovary,2017-01-06 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS8yMTE3Mjg2LW1pbmlhdHVyZS1icmFpbi1hbmQtc2t1bGwtZm91bmQtaW5zaWRlLTE2LXllYXItb2xkLWdpcmxzLW92YXJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
